Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
0,Bangladesh,India,India,6 wickets,Dhaka,"Jan 7, 2010",ODI # 2939,https://www.espncricinfo.com/India/engine/match/434260.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Shakib Al Hasan (c),Raqibul Hasan,Mushfiqur Rahim †,Mahmudullah,Naeem Islam,Abdur Razzak ,Rubel Hossain ,Syed Rasel,G Gambhir,V Sehwag,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RA Jadeja ,Harbhajan Singh ,Z Khan ,A Nehra ,S Sreesanth,Shakib Al Hasan ,MS Dhoni  †,Bangladesh,Bangladesh
1,India,Sri Lanka,India,8 wickets,Dhaka,"Jan 10, 2010",ODI # 2941,https://www.espncricinfo.com/India/engine/match/434262.html,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,NLTC Perera,S Randiv,T Thushara,UWMBCA Welegedara,RAS Lakmal,KD Karthik,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) † ,SK Raina ,A Mishra ,RA Jadeja ,Z Khan ,S Sreesanth ,S Tyagi,KC Sangakkara  †,MS Dhoni  † ,Sri Lanka,Sri Lanka
2,Bangladesh,India,India,6 wickets,Dhaka,"Jan 11, 2010",ODI # 2942,https://www.espncricinfo.com/India/engine/match/434263.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Raqibul Hasan,Shakib Al Hasan (c),Mushfiqur Rahim †,Mahmudullah,Naeem Islam,Abdur Razzak ,Syed Rasel ,Shafiul Islam,KD Karthik,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,A Mishra ,RA Jadeja ,S Sreesanth ,S Tyagi ,A Nehra,Shakib Al Hasan ,MS Dhoni  †,India,Bangladesh
3,India,South Africa,India,1 run,Jaipur,"Feb 21, 2010",ODI # 2961,https://www.espncricinfo.com/India/engine/match/441827.html,V Sehwag,SR Tendulkar,KD Karthik,MS Dhoni (c) †,V Kohli,SK Raina,YK Pathan,RA Jadeja,P Kumar,A Nehra,S Sreesanth,LE Bosman,HH Gibbs,JH Kallis (c),AB de Villiers,AN Petersen,JA Morkel,MV Boucher †,J Botha,WD Parnell,DW Steyn,CK Langeveldt,MS Dhoni  †,JH Kallis ,South Africa,India
4,India,South Africa,India,153 runs,Gwalior,"Feb 24, 2010",ODI # 2962,https://www.espncricinfo.com/India/engine/match/441828.html,V Sehwag,SR Tendulkar,KD Karthik,YK Pathan,MS Dhoni (c) †,V Kohli ,SK Raina ,RA Jadeja ,P Kumar ,A Nehra ,S Sreesanth,HM Amla,HH Gibbs,RE van der Merwe,JH Kallis (c),AB de Villiers,AN Petersen,JP Duminy,MV Boucher †,WD Parnell,DW Steyn,CK Langeveldt,MS Dhoni  †,JH Kallis ,India,India
5,India,Sri Lanka,India,7 wickets,Bulawayo,"May 30, 2010",ODI # 2983,https://www.espncricinfo.com/India/engine/match/452147.html,WU Tharanga,TM Dilshan (c) †,TT Samaraweera,AD Mathews,CK Kapugedera,LPC Silva,NLTC Perera,KMDN Kulasekara,S Randiv,CRD Fernando,BAW Mendis,KD Karthik †,M Vijay,V Kohli,RG Sharma,SK Raina (c),YK Pathan ,RA Jadeja ,A Mishra ,AB Dinda ,PP Ojha ,UT Yadav,TM Dilshan  †,SK Raina ,India,Sri Lanka
6,Bangladesh,India,India,6 wickets,Dambulla,"Jun 16, 2010",ODI # 2993,https://www.espncricinfo.com/India/engine/match/455232.html,Tamim Iqbal,Imrul Kayes,Mohammad Ashraful,Mushfiqur Rahim †,Shakib Al Hasan (c),Mahmudullah,Naeem Islam,Sohrawordi Shuvo,Mashrafe Mortaza,Shafiul Islam,Syed Rasel,G Gambhir,V Sehwag,V Kohli,RG Sharma,MS Dhoni (c) †,SK Raina,RA Jadeja ,Harbhajan Singh ,P Kumar ,Z Khan ,A Nehra,Shakib Al Hasan ,MS Dhoni  †,Bangladesh,Bangladesh
7,India,Pakistan,India,3 wickets,Dambulla,"Jun 19, 2010",ODI # 2996,https://www.espncricinfo.com/India/engine/match/455234.html,Salman Butt,Imran Farhat,Shoaib Malik,Umar Akmal,Umar Amin,Shahid Afridi (c),Kamran Akmal †,Abdul Razzaq,Mohammad Amir,Shoaib Akhtar,Saeed Ajmal,G Gambhir,V Sehwag,V Kohli,MS Dhoni (c) †,RG Sharma,SK Raina,RA Jadeja,Harbhajan Singh,P Kumar,Z Khan ,A Nehra,Shahid Afridi ,MS Dhoni  †,Pakistan,Pakistan
8,Sri Lanka,India,India,81 runs,Dambulla,"Jun 24, 2010",ODI # 3001,https://www.espncricinfo.com/India/engine/match/455237.html,G Gambhir,KD Karthik,V Kohli,MS Dhoni (c) †,RG Sharma,SK Raina,RA Jadeja,Harbhajan Singh,P Kumar ,Z Khan ,A Nehra,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,AD Mathews,SHT Kandamby,CK Kapugedera,MF Maharoof,KMDN Kulasekara,SL Malinga,M Muralitharan,MS Dhoni  †,KC Sangakkara  †,India,India
9,Sri Lanka,India,India,6 wickets,Dambulla,"Aug 16, 2010",ODI # 3032,https://www.espncricinfo.com/India/engine/match/456663.html,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,AD Mathews,CK Kapugedera,S Randiv,KMDN Kulasekara,SL Malinga,CRD Fernando,KD Karthik,V Sehwag,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,RA Jadeja ,P Kumar ,I Sharma ,A Nehra ,PP Ojha,KC Sangakkara  †,MS Dhoni  †,Sri Lanka,Sri Lanka
